                                      Part Name  Count  Percentage
                                      horn assy      1        0.04
                                     valve tire      1        0.04
                           rear bumper holder l      1        0.04
                                      condenser      1        0.04
                             member lamp suppor      1        0.04
                            grommetwasher motor      1        0.04
                                        screw 1      1        0.04
                                      sash door      1        0.04
                           brket fr fndr lwr lh      1        0.04
                              module assyairbag      1        0.04
                                  liquid gasket      1        0.04
                                       bezelfog      1        0.04
                          spoiler front air dam      1        0.04
              cabin air filter pm 25 swiftbalen      1        0.04
                extension front fender lower lh      1        0.04
                                  front rh door      1        0.04
                    holder frotn bumper side rh      1        0.04
                             front cross member      1        0.04
                            brkt bump nos 2 938      1        0.04
                         emblem compswift dzire      1        0.04
                garnish assy roof side outer lh      1        0.04
                                   grille upper      1        0.04
                          grommetrear comb lamp      1        0.04
                               cover fr bpr lwr      1        0.04
                               bracketpark snsr      1        0.04
                  cover front fog lamp bezel lh      1        0.04
                       cover fr fender upper lh      1        0.04
                                   pipe suction      1        0.04
                      bracket comp stabiliser l      1        0.04
                             lining fr fender l      1        0.04
                            grille radiator lwr      1        0.04
                     grille comp radiator upper      1        0.04
                                 silencerip top      1        0.04
                           lamp unit rr comb lh      1        0.04
                          hinge comp ft hood rh      1        0.04
                              box assystrg gear      1        0.04
                                belt assy fr rh      1        0.04
                           holder rr bum side l      1        0.04
                 gear boxtransmission case left      1        0.04
                              mounting radiator      1        0.04
                           panelinstrument main      1        0.04
                              cover comp timing      1        0.04
                    cover main floor under rhlh      1        0.04
                              moldingwindshield      1        0.04
                               brace bonnethood      1        0.04
                  extension assy fr bpr side rh      1        0.04
                          trimrear door opening      1        0.04
                                netfront bumper      1        0.04
                                  holder fr bpr      1        0.04
                       16580r14 ecopia ep150 bs      1        0.04
                               bezel fog lamp l      1        0.04
                                brace hood lock      1        0.04
                     tape front pillar upper lh      1        0.04
                                         tierod      1        0.04
                         carrier compspare tire      1        0.04
                            trim roof headliner      1        0.04
                        emblem dicky panel comp      1        0.04
                                emblem alto k10      1        0.04
                                         arm lh      1        0.04
                        front wind shield glass      1        0.04
                                     screw 5pcs      1        0.04
                              panl dash side lh      1        0.04
                          cov comp engine under      1        0.04
                            emblem maruti suzuk      1        0.04
                      garnish fog lamp bezel rh      1        0.04
                                 dg sealant set      1        0.04
                 unit lamp front turn signal lh      1        0.04
                                 front fog lamp      1        0.04
                               tie rod end left      1        0.04
                           seat rear spring upp      1        0.04
                                       bulb h11      1        0.04
                                 rod rng rr trq      1        0.04
                           tape rear door outer      1        0.04
                               contact coil set      1        0.04
                 reinf comp frt door striker rh      1        0.04
                          handle rr door out rh      1        0.04
                           member front side rh      1        0.04
                    guard assyfr fender splashr      1        0.04
                 panel comp wheel house outer r      1        0.04
                                      lining lh      1        0.04
                           panel front fender l      1        0.04
               seal drive bevel pinion oil clip      1        0.04
                            mountstabilizer bar      1        0.04
                       weatherstrip side window      1        0.04
                         seat belt front driver      1        0.04
                           arm assy fr suspn rh      1        0.04
                      seal differential side rh      1        0.04
                          garnishtop siderblack      1        0.04
                              ls fender linning      1        0.04
                          panel comp cowl upper      1        0.04
                            hose air clnr inlet      1        0.04
                    fender indicator light left      1        0.04
                          framefront suspension      1        0.04
                     bracket radiator sup upper      1        0.04
                                 sunvisor assyl      1        0.04
                  tape front door outer roof rh      1        0.04
                               knucklesteeringr      1        0.04
                       splash guard fender rhlh      1        0.04
                         member compfront lower      1        0.04
                         member lamp support rh      1        0.04
                       member comp front bumper      1        0.04
                 unit lamp front turn signal rh      1        0.04
                                        ft hood      1        0.04
                               tail light panel      1        0.04
                                       ws glass      1        0.04
                               member hood lock      1        0.04
                                glasswindshield      1        0.04
                        moldingfr pillar lowerr      1        0.04
                                 mirror assy rh      1        0.04
                              lamp assyrr combl      1        0.04
                  garnish radiator upper grille      1        0.04
                             cover fr upper end      1        0.04
                           thermostat cap water      1        0.04
                              cap rear door out      1        0.04
                    hose comp fr brake flexible      1        0.04
                        control arm shaft right      1        0.04
                    reinf compfront door hingel      1        0.04
                             elementair cleaner      1        0.04
                        member compstrg support      1        0.04
                              pipeair clnr suct      1        0.04
                                   strut kit rh      1        0.04
                             holderrr bmr sidel      1        0.04
                    hose egr water cooler inlet      1        0.04
                       panel compfront corner l      1        0.04
                                        bulb h1      1        0.04
                                       glass ws      1        0.04
                          cover engine under lh      1        0.04
                         chanel comp rr glass l      1        0.04
                    cable assy shift and select      1        0.04
